,Polarity,Subjectivity
count,595.0,595.0
mean,0.015323096121565512,0.4628364069626074
std,0.22245389400005786,0.2804802950862826
min,-0.6,0.0
25%,-0.0732142857142857,0.2775252525252525
50%,0.0,0.45454545454545453
75%,0.12000000000000001,0.6247023809523808
max,1.0,1.0
